date,LHX,ENB,CRM,vwretd
2014-04-23,0.000137,-0.001274,-0.025228,-0.002758
2014-04-24,-0.008521,0.003403,-0.016355,0.000719
2014-04-25,-0.007208,0.005511,-0.035264,-0.009470
2014-04-28,-0.003351,0.003794,-0.069508,0.001060
2014-04-29,0.017652,0.012180,0.033177,0.005627
2014-04-30,0.012114,0.001867,0.017534,0.003405
2014-05-01,-0.000544,0.006834,0.008325,0.000772
2014-05-02,-0.001497,-0.003291,0.006912,-0.000260
2014-05-05,0.002453,-0.000619,0.023074,0.001302
2014-05-06,0.002175,0.004956,-0.034856,-0.008724
2014-05-07,0.015737,0.006164,-0.026072,0.004403
2014-05-08,0.000935,-0.006330,-0.005552,-0.002682
2014-05-09,-0.001334,-0.012125,0.002592,0.001571
2014-05-12,0.013495,0.000624,0.062649,0.011167
2014-05-13,0.000527,-0.002884,-0.021524,-0.000666
2014-05-14,-0.004217,0.001259,-0.007651,-0.004726
2014-05-15,-0.008998,-0.000419,-0.008867,-0.008375
2014-05-16,0.004674,0.004195,0.007390,0.003401
2014-05-19,0.002260,-0.002924,0.027606,0.004287
2014-05-20,-0.002254,0.000838,-0.006387,-0.006933
2014-05-21,0.006380,0.012139,-0.051049,0.007421
2014-05-22,0.004094,-0.003309,0.061367,0.003498
2014-05-23,0.009470,0.000415,0.002628,0.004761
2014-05-27,0.008990,-0.008710,0.017787,0.005896
2014-05-28,-0.000775,-0.002301,-0.018764,-0.001316
2014-05-29,0.000520,-0.009226,0.019873,0.004918
2014-05-30,0.003247,0.005079,-0.032537,0.000641
2014-06-02,-0.000906,0.001263,-0.004750,0.000707
2014-06-03,-0.020990,0.000421,-0.027301,-0.000369
2014-06-04,0.002250,-0.005045,0.002355,0.002554
2014-06-05,0.010036,-0.002535,0.005874,0.007261
2014-06-06,0.011243,-0.006566,0.008371,0.005115
2014-06-09,0.002586,-0.006397,-0.001737,0.001870
2014-06-10,-0.001161,-0.002790,0.026107,-0.000362
2014-06-11,-0.001033,0.000430,0.004712,-0.003074
2014-06-12,-0.014474,0.005808,-0.005065,-0.005675
2014-06-13,-0.003541,0.005560,0.023944,0.003056
2014-06-16,-0.003158,0.010421,0.005524,0.001411
2014-06-17,-0.000660,0.006104,0.058780,0.002951
2014-06-18,-0.001585,-0.009414,-0.001038,0.006963
2014-06-19,-0.001059,-0.008659,0.002078,0.001678
2014-06-20,0.003709,0.006178,-0.006393,0.002081
2014-06-23,-0.002243,-0.000847,0.008520,0.000131
2014-06-24,-0.007539,-0.001695,-0.009310,-0.006979
2014-06-25,-0.000267,0.001910,-0.000870,0.005115
2014-06-26,0.006532,0.000424,-0.004180,-0.000561
2014-06-27,0.006224,0.004659,0.003673,0.002890
2014-06-30,-0.003027,0.000632,0.012199,0.001035
2014-07-01,0.003300,0.006320,0.019284,0.006789
2014-07-02,-0.004868,-0.001675,-0.004899,-0.000317
2014-07-03,0.007272,0.000839,-0.002546,0.004968
2014-07-07,-0.032423,-0.009638,-0.024166,-0.006110
2014-07-08,-0.004206,-0.001692,-0.042728,-0.007345
2014-07-09,-0.000681,0.010172,-0.005283,0.004480
2014-07-10,-0.001636,-0.000629,-0.005494,-0.004858
2014-07-11,-0.002595,-0.011755,-0.001657,0.000777
2014-07-14,0.001232,0.010195,0.009592,0.004563
2014-07-15,0.000410,-0.000421,-0.018089,-0.003284
2014-07-16,0.005057,0.012411,0.003908,0.003751
2014-07-17,-0.008704,0.009557,-0.024282,-0.010966
2014-07-18,0.011524,0.006791,0.016337,0.010250
2014-07-21,0.000407,0.003475,-0.003364,-0.002171
2014-07-22,-0.004745,0.011408,0.005251,0.005105
2014-07-23,-0.004223,0.019134,0.000000,0.001843
2014-07-24,0.003557,0.012253,0.008582,0.000244
2014-07-25,-0.009133,-0.003905,0.015353,-0.005025
2014-07-28,-0.004402,0.000784,-0.016214,-0.000513
2014-07-29,-0.058311,-0.007051,0.015370,-0.003659
2014-07-30,0.019076,-0.008679,0.025898,0.000540
2014-07-31,-0.016991,-0.025468,-0.035556,-0.019359
2014-08-01,0.002490,0.007350,-0.014194,-0.003442
2014-08-04,0.009351,0.006283,0.026552,0.007129
2014-08-05,0.000145,-0.015307,-0.010929,-0.008884
2014-08-06,-0.001592,0.002045,-0.007551,0.000300
2014-08-07,-0.011018,-0.005716,-0.002598,-0.004897
2014-08-08,0.013486,0.000411,0.012837,0.010292
2014-08-11,-0.006219,0.005336,0.007899,0.004768
2014-08-12,0.000291,0.000204,-0.038637,-0.002199
2014-08-13,0.010767,0.007143,0.001327,0.006608
2014-08-14,-0.006910,0.002448,0.013063,0.004202
2014-08-15,0.000435,0.005290,0.002243,0.000294
2014-08-18,0.008838,0.001012,0.013985,0.008519
2014-08-19,0.007037,0.006268,0.010666,0.004714
2014-08-20,0.004706,0.011252,0.007824,0.001984
2014-08-21,0.008517,-0.002384,0.005777,0.002461
2014-08-22,-0.000422,-0.007568,0.073416,-0.001445
2014-08-25,-0.002675,0.002007,-0.009532,0.004550
2014-08-26,0.004235,-0.004606,0.006922,0.002181
2014-08-27,-0.005623,0.013682,-0.001006,0.000622
2014-08-28,0.002686,-0.002382,-0.021652,-0.001806
2014-08-29,0.006627,-0.008158,0.013724,0.003800
2014-09-02,-0.005463,0.008626,0.012862,0.000031
2014-09-03,0.000423,0.007359,-0.013701,-0.000580
2014-09-04,-0.011404,-0.002567,0.000847,-0.002383
