PERMNO,date,vwretd
25582,2014-09-26,0.008408
25582,2014-09-29,-0.002422
25582,2014-09-30,-0.004091
25582,2014-10-01,-0.012931
25582,2014-10-02,0.000775
25582,2014-10-03,0.009096
25582,2014-10-06,-0.001582
25582,2014-10-07,-0.014990
25582,2014-10-08,0.015855
25582,2014-10-09,-0.021219
25582,2014-10-10,-0.013333
25582,2014-10-13,-0.015501
25582,2014-10-14,0.002321
25582,2014-10-15,-0.004483
25582,2014-10-16,0.003835
25582,2014-10-17,0.010813
25582,2014-10-20,0.009244
25582,2014-10-21,0.019230
25582,2014-10-22,-0.008878
25582,2014-10-23,0.012270
25582,2014-10-24,0.006013
25582,2014-10-27,-0.002172
25582,2014-10-28,0.013743
25582,2014-10-29,-0.002246
25582,2014-10-30,0.004987
25582,2014-10-31,0.011527
25582,2014-11-03,-0.000685
25582,2014-11-04,-0.004628
25582,2014-11-05,0.004889
25582,2014-11-06,0.003815
25582,2014-11-07,0.001998
25582,2014-11-10,0.002723
25582,2014-11-11,0.001120
25582,2014-11-12,0.000555
25582,2014-11-13,-0.000944
25582,2014-11-14,0.001335
25582,2014-11-17,-0.000224
25582,2014-11-18,0.005501
25582,2014-11-19,-0.002373
25582,2014-11-20,0.003302
25582,2014-11-21,0.005330
25582,2014-11-24,0.003182
25582,2014-11-25,-0.000384
25582,2014-11-26,0.002777
25582,2014-11-28,-0.006097
25582,2014-12-01,-0.008988
25582,2014-12-02,0.005867
25582,2014-12-03,0.005232
25582,2014-12-04,-0.002151
25582,2014-12-05,0.001463
25582,2014-12-08,-0.009478
25582,2014-12-09,0.001715
25582,2014-12-10,-0.017439
25582,2014-12-11,0.004078
25582,2014-12-12,-0.015235
25582,2014-12-15,-0.007671
25582,2014-12-16,-0.005842
25582,2014-12-17,0.021789
25582,2014-12-18,0.021547
25582,2014-12-19,0.004613
25582,2014-12-22,0.003242
25582,2014-12-23,0.002198
25582,2014-12-24,0.000579
25582,2014-12-26,0.003668
25582,2014-12-29,0.001242
25582,2014-12-30,-0.004285
25582,2014-12-31,-0.008784
25582,2015-01-02,-0.000242
25582,2015-01-05,-0.018275
25582,2015-01-06,-0.009661
25582,2015-01-07,0.011114
25582,2015-01-08,0.016844
25582,2015-01-09,-0.007545
25582,2015-01-12,-0.007783
25582,2015-01-13,-0.002264
25582,2015-01-14,-0.005222
25582,2015-01-15,-0.009182
25582,2015-01-16,0.013841
25582,2015-01-20,0.000251
25582,2015-01-21,0.004549
25582,2015-01-22,0.014704
25582,2015-01-23,-0.004203
25582,2015-01-26,0.004402
25582,2015-01-27,-0.010008
25582,2015-01-28,-0.014065
25582,2015-01-29,0.008482
25582,2015-01-30,-0.012152
25582,2015-02-02,0.012223
25582,2015-02-03,0.015024
25582,2015-02-04,-0.004439
25582,2015-02-05,0.011508
25582,2015-02-06,-0.003588
25582,2015-02-09,-0.004087
25582,2015-02-10,0.008608
25582,2015-02-11,-0.000366
25582,2015-02-12,0.010427
25582,2015-02-13,0.004733
25582,2015-02-17,0.001747
25582,2015-02-18,0.000119
25582,2015-02-19,-0.001016
25582,2015-02-20,0.005709
25582,2015-02-23,-0.000652
25582,2015-02-24,0.002294
25582,2015-02-25,0.000697
25582,2015-02-26,-0.001540
25582,2015-02-27,-0.002605
25582,2015-03-02,0.005491
25582,2015-03-03,-0.004050
25582,2015-03-04,-0.003780
25582,2015-03-05,0.001631
25582,2015-03-06,-0.013852
25582,2015-03-09,0.002862
25582,2015-03-10,-0.015500
25582,2015-03-11,-0.000191
25582,2015-03-12,0.011981
25582,2015-03-13,-0.005527
25582,2015-03-16,0.011764
25582,2015-03-17,-0.001752
25582,2015-03-18,0.012080
25582,2015-03-19,-0.004553
25582,2015-03-20,0.009388
25582,2015-03-23,-0.000947
25582,2015-03-24,-0.004568
25582,2015-03-25,-0.014691
25582,2015-03-26,-0.002223
25582,2015-03-27,0.002468
25582,2015-03-30,0.011519
25582,2015-03-31,-0.007119
25582,2015-04-01,-0.002676
25582,2015-04-02,0.004004
25582,2015-04-06,0.006577
25582,2015-04-07,-0.002134
25582,2015-04-08,0.003582
25582,2015-04-09,0.003365
25582,2015-04-10,0.004585
25582,2015-04-13,-0.003718
25582,2015-04-14,0.001885
25582,2015-04-15,0.006183
25582,2015-04-16,-0.000422
25582,2015-04-17,-0.011294
25582,2015-04-20,0.008078
25582,2015-04-21,-0.001010
25582,2015-04-22,0.004142
25582,2015-04-23,0.003555
25582,2015-04-24,0.001163
25582,2015-04-27,-0.004791
25582,2015-04-28,0.002456
25582,2015-04-29,-0.003923
25582,2015-04-30,-0.010676
25582,2015-05-01,0.009290
25582,2015-05-04,0.002961
25582,2015-05-05,-0.011551
25582,2015-05-06,-0.003354
25582,2015-05-07,0.003347
25582,2015-05-08,0.012083
25582,2015-05-11,-0.003980
25582,2015-05-12,-0.002240
25582,2015-05-13,0.000185
25582,2015-05-14,0.009713
25582,2015-05-15,0.001057
25582,2015-05-18,0.003342
25582,2015-05-19,-0.001352
25582,2015-05-20,-0.000317
25582,2015-05-21,0.002465
25582,2015-05-22,-0.002200
25582,2015-05-26,-0.010462
25582,2015-05-27,0.008653
25582,2015-05-28,-0.001203
25582,2015-05-29,-0.005829
25582,2015-06-01,0.001528
25582,2015-06-02,0.000372
25582,2015-06-03,0.002647
25582,2015-06-04,-0.008883
25582,2015-06-05,-0.000015
25582,2015-06-08,-0.006516
25582,2015-06-09,-0.000033
25582,2015-06-10,0.011505
25582,2015-06-11,0.001897
25582,2015-06-12,-0.006154
25582,2015-06-15,-0.004048
25582,2015-06-16,0.004953
25582,2015-06-17,0.001723
25582,2015-06-18,0.009278
25582,2015-06-19,-0.004858
25582,2015-06-22,0.005845
25582,2015-06-23,0.001287
25582,2015-06-24,-0.007414
25582,2015-06-25,-0.002654
25582,2015-06-26,-0.000814
25582,2015-06-29,-0.021502
25582,2015-06-30,0.002975
25582,2015-07-01,0.005472
25582,2015-07-02,-0.000554
25582,2015-07-06,-0.004518
25582,2015-07-07,0.004976
25582,2015-07-08,-0.016512
25582,2015-07-09,0.002742
25582,2015-07-10,0.012674
25582,2015-07-13,0.010250
25582,2015-07-14,0.004722
25582,2015-07-15,-0.002478
25582,2015-07-16,0.006972
25582,2015-07-17,-0.000638
25582,2015-07-20,-0.001222
25582,2015-07-21,-0.004063
25582,2015-07-22,-0.002359
25582,2015-07-23,-0.005452
25582,2015-07-24,-0.010027
25582,2015-07-27,-0.007086
25582,2015-07-28,0.012261
25582,2015-07-29,0.007577
25582,2015-07-30,0.000803
25582,2015-07-31,-0.000764
25582,2015-08-03,-0.003671
25582,2015-08-04,-0.001717
25582,2015-08-05,0.002575
25582,2015-08-06,-0.007848
25582,2015-08-07,-0.003275
25582,2015-08-10,0.013132
25582,2015-08-11,-0.009257
25582,2015-08-12,0.000704
25582,2015-08-13,-0.002045
25582,2015-08-14,0.003786
25582,2015-08-17,0.005742
25582,2015-08-18,-0.003505
25582,2015-08-19,-0.008794
25582,2015-08-20,-0.021636
25582,2015-08-21,-0.028014
25582,2015-08-24,-0.038574
25582,2015-08-25,-0.010297
25582,2015-08-26,0.033787
25582,2015-08-27,0.024411
25582,2015-08-28,0.002532
25582,2015-08-31,-0.007265
25582,2015-09-01,-0.028174
25582,2015-09-02,0.016353
25582,2015-09-03,0.001834
25582,2015-09-04,-0.013754
25582,2015-09-08,0.023691
25582,2015-09-09,-0.012783
25582,2015-09-10,0.004395
25582,2015-09-11,0.003428
25582,2015-09-14,-0.004221
25582,2015-09-15,0.011419
25582,2015-09-16,0.009522
25582,2015-09-17,-0.000704
25582,2015-09-18,-0.015322
25582,2015-09-21,0.003336
25582,2015-09-22,-0.013653
25582,2015-09-23,-0.003487
25582,2015-09-24,-0.003706
25582,2015-09-25,-0.002118
25582,2015-09-28,-0.027043
25582,2015-09-29,-0.000916
25582,2015-09-30,0.019430
25582,2015-10-01,0.001947
25582,2015-10-02,0.015168
25582,2015-10-05,0.018766
25582,2015-10-06,-0.003110
25582,2015-10-07,0.009818
25582,2015-10-08,0.008529
25582,2015-10-09,0.001438
25582,2015-10-12,-0.000202
25582,2015-10-13,-0.007799
25582,2015-10-14,-0.004294
25582,2015-10-15,0.014711
25582,2015-10-16,0.003420
25582,2015-10-19,-0.000678
25582,2015-10-20,-0.001171
25582,2015-10-21,-0.008024
25582,2015-10-22,0.013929
25582,2015-10-23,0.009499
25582,2015-10-26,-0.002802
25582,2015-10-27,-0.004495
25582,2015-10-28,0.013657
25582,2015-10-29,-0.002218
25582,2015-10-30,-0.004004
25582,2015-11-02,0.012446
25582,2015-11-03,0.003088
25582,2015-11-04,-0.003380
25582,2015-11-05,-0.001396
25582,2015-11-06,-0.000383
25582,2015-11-09,-0.009594
25582,2015-11-10,0.001286
25582,2015-11-11,-0.004136
25582,2015-11-12,-0.014519
25582,2015-11-13,-0.009781
25582,2015-11-16,0.013738
25582,2015-11-17,-0.001359
25582,2015-11-18,0.015275
25582,2015-11-19,-0.000988
25582,2015-11-20,0.003000
25582,2015-11-23,-0.000666
25582,2015-11-24,0.002343
25582,2015-11-25,0.001177
25582,2015-11-27,0.000779
25582,2015-11-30,-0.003859
25582,2015-12-01,0.009508
25582,2015-12-02,-0.010722
25582,2015-12-03,-0.014317
25582,2015-12-04,0.016454
25582,2015-12-07,-0.009769
25582,2015-12-08,-0.006113
25582,2015-12-09,-0.006630
25582,2015-12-10,0.002053
25582,2015-12-11,-0.019829
25582,2015-12-14,0.001578
25582,2015-12-15,0.011317
25582,2015-12-16,0.014887
25582,2015-12-17,-0.014588
25582,2015-12-18,-0.015037
25582,2015-12-21,0.007163
25582,2015-12-22,0.008827
25582,2015-12-23,0.013678
25582,2015-12-24,-0.000839
25582,2015-12-28,-0.003319
25582,2015-12-29,0.010018
25582,2015-12-30,-0.007358
25582,2015-12-31,-0.008181
25582,2016-01-04,-0.014890
25582,2016-01-05,0.001397
25582,2016-01-06,-0.013799
25582,2016-01-07,-0.023909
25582,2016-01-08,-0.010935
25582,2016-01-11,-0.001736
25582,2016-01-12,0.006081
25582,2016-01-13,-0.025834
25582,2016-01-14,0.015434
25582,2016-01-15,-0.021670
25582,2016-01-19,-0.002414
25582,2016-01-20,-0.010584
25582,2016-01-21,0.005654
25582,2016-01-22,0.022476
25582,2016-01-25,-0.016673
25582,2016-01-26,0.015919
25582,2016-01-27,-0.010546
25582,2016-01-28,0.005035
25582,2016-01-29,0.024547
25582,2016-02-01,-0.000351
25582,2016-02-02,-0.020022
25582,2016-02-03,0.005729
25582,2016-02-04,0.003623
25582,2016-02-05,-0.019591
25582,2016-02-08,-0.016964
25582,2016-02-09,-0.003067
25582,2016-02-10,0.000273
25582,2016-02-11,-0.011979
25582,2016-02-12,0.020132
25582,2016-02-16,0.017684
25582,2016-02-17,0.018099
25582,2016-02-18,-0.004199
25582,2016-02-19,-0.000231
25582,2016-02-22,0.014305
25582,2016-02-23,-0.011789
25582,2016-02-24,0.004963
25582,2016-02-25,0.011044
25582,2016-02-26,0.000283
25582,2016-02-29,-0.005893
25582,2016-03-01,0.022404
25582,2016-03-02,0.005674
25582,2016-03-03,0.005603
25582,2016-03-04,0.004192
25582,2016-03-07,0.003223
25582,2016-03-08,-0.013540
25582,2016-03-09,0.005555
25582,2016-03-10,-0.001281
25582,2016-03-11,0.017442
25582,2016-03-14,-0.001576
25582,2016-03-15,-0.004458
25582,2016-03-16,0.007493
25582,2016-03-17,0.008250
25582,2016-03-18,0.003879
25582,2016-03-21,0.000503
25582,2016-03-22,-0.000372
25582,2016-03-23,-0.009450
25582,2016-03-24,-0.000141
25582,2016-03-28,0.000806
25582,2016-03-29,0.011053
25582,2016-03-30,0.004467
25582,2016-03-31,-0.000869
25582,2016-04-01,0.004664
25582,2016-04-04,-0.004391
25582,2016-04-05,-0.010012
25582,2016-04-06,0.011074
25582,2016-04-07,-0.011653
25582,2016-04-08,0.004327
25582,2016-04-11,-0.001833
25582,2016-04-12,0.010399
25582,2016-04-13,0.011323
25582,2016-04-14,-0.000462
25582,2016-04-15,-0.000565
25582,2016-04-18,0.006766
25582,2016-04-19,0.004490
25582,2016-04-20,0.001225
25582,2016-04-21,-0.005273
25582,2016-04-22,0.001835
25582,2016-04-25,-0.002787
25582,2016-04-26,0.003357
25582,2016-04-27,0.002651
25582,2016-04-28,-0.008569
25582,2016-04-29,-0.004465
25582,2016-05-02,0.006733
25582,2016-05-03,-0.011101
25582,2016-05-04,-0.006171
25582,2016-05-05,-0.000444
25582,2016-05-06,0.003519
25582,2016-05-09,-0.000200
25582,2016-05-10,0.012298
25582,2016-05-11,-0.008295
25582,2016-05-12,-0.000776
25582,2016-05-13,-0.007964
25582,2016-05-16,0.010210
25582,2016-05-17,-0.008591
25582,2016-05-18,-0.000812
25582,2016-05-19,-0.003791
25582,2016-05-20,0.007642
25582,2016-05-23,-0.001790
25582,2016-05-24,0.013114
25582,2016-05-25,0.007321
25582,2016-05-26,-0.000158
25582,2016-05-27,0.004415
25582,2016-05-31,-0.000348
25582,2016-06-01,0.002367
25582,2016-06-02,0.003603
25582,2016-06-03,-0.001949
25582,2016-06-06,0.006131
25582,2016-06-07,0.002122
25582,2016-06-08,0.003565
25582,2016-06-09,-0.002816
25582,2016-06-10,-0.011232
25582,2016-06-13,-0.008135
25582,2016-06-14,-0.002780
